CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,113,6,10.53339958,33.78820038,25.9144001,1.692320108,5.217999935,MON
2103,113,8,10.5323,33.78839874,25.91480064,1.647142291,5.215000153,MON
2103,113,10,10.52929974,33.78889847,25.91580009,1.770811677,5.206999779,MON
2103,113,12,10.53219986,33.78850174,25.91489983,1.717570901,5.218999863,MON
2103,113,14,10.53369999,33.78829956,25.91449928,1.658368945,5.22300005,MON
2103,113,16,10.53380013,33.78829956,25.91460037,1.674686074,5.224999905,MON
2103,113,18,10.5340004,33.78820038,25.91460037,1.739083767,5.214000225,MON
2103,113,20,10.53470039,33.7881012,25.9144001,1.610335231,5.217000008,MON
2103,113,22,10.53479958,33.7881012,25.9144001,1.700833082,5.21999979,MON
2103,113,24,10.53310013,33.78850174,25.9151001,1.640404224,5.195000172,MON
2103,113,26,10.5230999,33.79040146,25.91830063,1.649746537,5.177000046,MON
2103,113,28,10.52439976,33.7901001,25.91790009,1.568209171,5.160999775,MON
2103,113,30,10.52250004,33.79069901,25.91869926,1.603568435,5.169000149,MON
2103,113,32,10.52219963,33.79069901,25.91889954,1.576882958,5.150000095,MON
2103,113,34,10.48709965,33.79589844,25.92910004,1.535463572,5.034999847,MON
2103,113,36,10.41909981,33.80479813,25.94779968,1.360778809,4.889999866,MON
2103,113,38,10.35859966,33.80950165,25.96190071,1.175065756,4.769000053,MON
2103,113,40,10.31610012,33.8117981,25.97109985,1.090632915,4.677000046,MON
2103,113,42,10.25619984,33.81230164,25.98180008,1.117378235,4.553999901,MON
2103,113,44,10.20460033,33.81299973,25.99119949,1.072598815,4.406000137,MON
2103,113,46,10.03919983,33.81750107,26.02289963,0.757545471,4.052000046,MON
2103,113,48,9.848600388,33.83000183,26.06469917,0.542119384,3.664999962,MON
2103,113,50,9.596899986,33.86259842,26.13199997,0.329995722,3.2300000190000002,MON
2103,113,52,9.385399818,33.90800095,26.20210075,0,3.0199999809999998,MON
2103,113,54,9.322600365,33.92509842,26.22570038,0,2.95600009,MON
2103,113,56,9.28880024,33.93460083,26.23859978,0,2.934000015,MON
2103,113,58,9.27519989,33.94060135,26.24550056,0,2.950999975,MON
2103,113,60,9.256999969,33.9455986,26.25239944,0,2.96600008,MON
2103,113,62,9.205699921,33.95510101,26.26810074,0,2.967999935,MON
2103,113,64,9.189200401,33.9571991,26.27249908,0,2.953999996,MON
2103,113,66,9.184000015,33.95809937,26.27400017,0,2.938999891,MON
2103,113,68,9.159399986,33.96239853,26.28129959,0,2.913000107,MON
2103,113,70,9.145299911,33.96429825,26.28520012,0,2.898999929,MON
2103,113,72,9.13160038,33.96630096,26.28890038,0,2.878999949,MON
2103,113,74,9.119000435,33.96839905,26.29260063,0,2.8550000190000002,MON
2103,113,76,9.097800255,33.97219849,26.29910088,0,2.816999912,MON
2103,113,78,9.059900284,33.97869873,26.31019974,0,2.736000061,MON
2103,113,80,9.045599937,33.98109818,26.31439972,0,2.721999884,MON
2103,113,82,9.041500092,33.98189926,26.31570053,0,2.709000111,MON
2103,113,84,9.036000252,33.98289871,26.31739998,0,2.697000027,MON
